,Location,Latitude,Longitude,Metric
96,Spain,39.3262345,-4.8380649,6
97,United Kingdom,54.7023545,-3.2765753,62
98,Canada,61.0666922,-107.9917071,70
99,America,37.09024,-95.712891,628
100,America,37.09024,-95.712891,628
101,Bolivia,-17.0568696,-64.9912286,2
102,United Kingdom,54.7023545,-3.2765753,62
103,America,37.09024,-95.712891,628
104,America,37.09024,-95.712891,628
105,France,46.603354,1.8883335,45
106,Holland,52.5001698,5.7480821,12
107,America,37.09024,-95.712891,628
108,America,37.09024,-95.712891,628
109,England,52.5310214,-1.2649062,118
110,England,52.5310214,-1.2649062,118
111,America,37.09024,-95.712891,628
112,England,52.5310214,-1.2649062,118
113,America,37.09024,-95.712891,628
114,United Kingdom,54.7023545,-3.2765753,62
115,America,37.09024,-95.712891,628
116,America,37.09024,-95.712891,628
117,America,37.09024,-95.712891,628
118,Chile,-31.7613365,-71.3187697,7
119,America,37.09024,-95.712891,628
120,Brasil,-10.3333333,-53.2,32
121,Brasil,-10.3333333,-53.2,32
122,England,52.5310214,-1.2649062,118
123,America,37.09024,-95.712891,628
124,America,37.09024,-95.712891,628
125,America,37.09024,-95.712891,628
126,America,37.09024,-95.712891,628
127,Canada,61.0666922,-107.9917071,70
128,America,37.09024,-95.712891,628
129,America,37.09024,-95.712891,628
130,America,37.09024,-95.712891,628
131,America,37.09024,-95.712891,628
132,America,37.09024,-95.712891,628
133,America,37.09024,-95.712891,628
134,America,37.09024,-95.712891,628
135,America,37.09024,-95.712891,628
136,America,37.09024,-95.712891,628
137,India,22.3511148,78.6677428,66
138,America,37.09024,-95.712891,628
139,America,37.09024,-95.712891,628
140,America,37.09024,-95.712891,628
141,Colombia,2.8894434,-73.783892,14
142,America,37.09024,-95.712891,628
143,Colombia,2.8894434,-73.783892,14
144,America,37.09024,-95.712891,628
145,America,37.09024,-95.712891,628
146,America,37.09024,-95.712891,628
147,America,37.09024,-95.712891,628
148,Nigeria,9.6000359,7.9999721,37
149,Canada,61.0666922,-107.9917071,70
150,Canada,61.0666922,-107.9917071,70
151,Czech Republic,49.8167003,15.4749544,1
152,America,37.09024,-95.712891,628
153,United Kingdom,54.7023545,-3.2765753,62
154,America,37.09024,-95.712891,628
155,America,37.09024,-95.712891,628
156,America,37.09024,-95.712891,628
157,America,37.09024,-95.712891,628
158,America,37.09024,-95.712891,628
159,Namibia,-23.2335499,17.3231107,6
160,Brasil,-10.3333333,-53.2,32
161,Brasil,-10.3333333,-53.2,32
162,America,37.09024,-95.712891,628
163,Germany,51.0834196,10.4234469,12
164,United Kingdom,54.7023545,-3.2765753,62
165,America,37.09024,-95.712891,628
166,England,52.5310214,-1.2649062,118
167,England,52.5310214,-1.2649062,118
168,America,37.09024,-95.712891,628
169,Uruguay,-32.8755548,-56.0201525,2
170,Germany,51.0834196,10.4234469,12
171,America,37.09024,-95.712891,628
172,America,37.09024,-95.712891,628
173,America,37.09024,-95.712891,628
174,America,37.09024,-95.712891,628
175,United Kingdom,54.7023545,-3.2765753,62
176,United Kingdom,54.7023545,-3.2765753,62
177,America,37.09024,-95.712891,628
178,America,37.09024,-95.712891,628
179,India,22.3511148,78.6677428,66
180,Colombia,2.8894434,-73.783892,14
181,America,37.09024,-95.712891,628
182,Colombia,2.8894434,-73.783892,14
183,England,52.5310214,-1.2649062,118
184,United Kingdom,54.7023545,-3.2765753,62
185,America,37.09024,-95.712891,628
186,America,37.09024,-95.712891,628
187,America,37.09024,-95.712891,628
188,America,37.09024,-95.712891,628
189,America,37.09024,-95.712891,628
190,America,37.09024,-95.712891,628
191,Georgia,32.3293809,-83.1137366,7
192,Holland,52.5001698,5.7480821,12
193,Holland,52.5001698,5.7480821,12
194,Mexico,22.5000485,-100.0000375,7
195,America,37.09024,-95.712891,628
196,America,37.09024,-95.712891,628
197,England,52.5310214,-1.2649062,118
198,America,37.09024,-95.712891,628
199,Bolivia,-17.0568696,-64.9912286,2
200,America,37.09024,-95.712891,628
201,America,37.09024,-95.712891,628
202,India,22.3511148,78.6677428,66
203,Scotland,56.7861112,-4.1140518,24
